responderid,respondername,password,email,phonenumber,respondertype,address
46,新北市消防局局本部,,,0289519119,FireAgency,新北市板橋區南雅南路二段15號
47,新北市消防局第一大隊大隊部,,,0222528119,FireAgency,新北市板橋區莒光路161號3樓
48,新北市消防局第一大隊板橋中隊,,,0229554614,FireAgency,新北市板橋區重慶路293號6樓
49,新北市消防局第一大隊莒光,,,0222515614,FireAgency,新北市板橋區莒光路161號1樓
50,新北市消防局第一大隊新板,,,0229557119,FireAgency,新北市板橋區民族路57號
51,新北市消防局第一大隊大觀,,,0229666144,FireAgency,新北市板橋區大觀路一段38巷臨1-3號
52,新北市消防局第一大隊海山,,,0222596285,FireAgency,新北市板橋區英士路151號
53,新北市消防局第一大隊民生,,,0229563260,FireAgency,新北市板橋區民生路二段臨56-2號
54,新北市消防局第一大隊溪崑,,,0226878815,FireAgency,新北市板橋區篤行路二段135號
55,新北市消防局第二大隊大隊部,,,0229985958,FireAgency,新北市新莊區中正路170號5樓
56,新北市消防局第二大隊新莊中隊,,,0285217645,FireAgency,新北市新莊區中原路512號4樓
57,新北市消防局第二大隊五泰林中隊,,,0285317302,FireAgency,新北市泰山區明志路二段188號3樓
58,新北市消防局第二大隊五工,,,0289903673,FireAgency,新北市新莊區五工路97巷5號
59,新北市消防局第二大隊裕民,,,0229022119,FireAgency,新北市新莊區裕民街136號
60,新北市消防局第二大隊福營,,,0229032119,FireAgency,新北市新莊區福營路279號
61,新北市消防局第二大隊新莊,,,0229924050,FireAgency,新北市新莊區中正路170號1樓
62,新北市消防局第二大隊中港,,,0285216119,FireAgency,新北市新莊區中原路512號
63,新北市消防局第二大隊頭前,,,0229922259,FireAgency,新北市新莊區幸福東路7號
64,新北市消防局第二大隊五股,,,0222921119,FireAgency,新北市五股區工商路1號
65,新北市消防局第二大隊更寮,,,0229884119,FireAgency,新北市五股區中興路二段83巷26-6號
66,新北市消防局第二大隊泰山,,,0222962640,FireAgency,新北市泰山區明志路二段188號
67,新北市消防局第二大隊林口,,,0226011166,FireAgency,新北市林口區西林里中山路137號
68,新北市消防局第二大隊文化,,,0226089803,FireAgency,新北市林口區文化三路1段302號
69,新北市消防局第三大隊大隊部,,,0282859119,FireAgency,新北市蘆洲區長榮路792號6樓
70,新北市消防局第三大隊三重中隊,,,0229951119,FireAgency,新北市三重區中興北街225號
71,新北市消防局第三大隊蘆洲中隊,,,0282852132,FireAgency,新北市蘆洲區中山一路415號5樓
72,新北市消防局第三大隊淡水中隊,,,0226259037,FireAgency,新北市淡水區中正東路一段125號
73,新北市消防局第三大隊三重,,,0229750105,FireAgency,新北市三重區正義南路107號2樓
74,新北市消防局第三大隊鷺江,,,0222858100,FireAgency,新北市蘆洲區長榮路792號
75,新北市消防局第三大隊蘆洲,,,0222821119,FireAgency,新北市蘆洲區中山一路415號
76,新北市消防局第三大隊重陽,,,0229889009,FireAgency,新北市三重區重陽路一段123號
77,新北市消防局第三大隊二重,,,0229959720,FireAgency,新北市三重區中興北街225號
78,新北市消防局第三大隊八里,,,0226102718,FireAgency,新北市八里區中山路二段76號
79,新北市消防局第三大隊龍源,,,0226181730,FireAgency,新北市八里區龍源里龍米路一段225號
80,新北市消防局第三大隊淡水,,,0226210140,FireAgency,新北市淡水區新生街29號
81,新北市消防局第三大隊竹圍,,,0226290366,FireAgency,新北市淡水區中正東路一段125號
82,新北市消防局第三大隊三芝,,,0226362457,FireAgency,新北市三芝區埔頭里中山路一段10號
83,新北市消防局第三大隊滬尾,,,0226263961,FireAgency,新北市淡水區中正路207號
84,新北市消防局第四大隊大隊部,,,0229110163,FireAgency,新北市新店區北新路一段98號5樓
85,新北市消防局第四大隊新店中隊,,,0222141139,FireAgency,新北市新店區安康路三段2號4樓
86,新北市消防局第四大隊文山中隊,,,0226644220,FireAgency,新北市深坑區文山路1段35號4樓
87,新北市消防局第四大隊深坑,,,0226621115,FireAgency,新北市深坑區文山路1段35號1樓
88,新北市消防局第四大隊新店,,,0229117947,FireAgency,新北市新店區北新路1段98號
89,新北市消防局第四大隊直潭,,,0226660170,FireAgency,新北市新店區直潭十街25號
90,新北市消防局第四大隊安康,,,0222141860,FireAgency,新北市新店區安康路三段2號
91,新北市消防局第四大隊安和,,,0229486936,FireAgency,新北市新店區安和路3段3號
92,新北市消防局第四大隊石碇,,,0226632234,FireAgency,新北市石碇區碇坪路1段81號
93,新北市消防局第四大隊坪林,,,0226656119,FireAgency,新北市坪林區坪碇路6號2樓
94,新北市消防局第四大隊雪山,,,0226658330,FireAgency,新北市坪林區坪雙路1段56號
95,新北市消防局第四大隊烏來,,,0226616187,FireAgency,新北市烏來區烏來里環山路51號
96,新北市消防局第五大隊大隊部,,,0286713380,FireAgency,新北市三峽區隆恩街249號4樓
97,新北市消防局第五大隊三鶯中隊,,,0235012380,FireAgency,新北市三峽區隆恩街247號3樓
98,新北市消防局第五大隊樹林中隊,,,0286859790,FireAgency,新北市樹林區環漢路5段50號4樓
99,新北市消防局第五大隊土城中隊,,,0222602524,FireAgency,新北市土城區金城路1段90號3樓
100,新北市消防局第五大隊三峽,,,0226711119,FireAgency,新北市三峽區中正路1段46號
101,新北市消防局第五大隊隆恩,,,0226747927,FireAgency,新北市三峽區隆恩街247號
102,新北市消防局第五大隊清水,,,0222615281,FireAgency,新北市土城區青雲路35號
103,新北市消防局第五大隊頂埔,,,0222681574,FireAgency,新北市土城區中興路10號
104,新北市消防局第五大隊樹潭,,,0226822119,FireAgency,新北市樹林區俊保路160號
105,新北市消防局第五大隊柑園,,,0226802134,FireAgency,新北市樹林區柑園街一段60號
106,新北市消防局第五大隊鶯歌,,,0226792082,FireAgency,新北市鶯歌區建國路420號
107,新北市消防局第五大隊鳳鳴,,,0286774275,FireAgency,新北市鶯歌區鳳鳴路162號
108,新北市消防局第六大隊大隊部,,,0226947119,FireAgency,新北市汐止區福德一路236號6樓
109,新北市消防局第六大隊瑞芳中隊,,,0224971600,FireAgency,新北市瑞芳區中正路30號2樓
110,新北市消防局第六大隊社后,,,0286931911,FireAgency,新北市汐止區福德一路236號
111,新北市消防局第六大隊汐止,,,0226413249,FireAgency,新北市汐止區大同路三段469號
112,新北市消防局第六大隊長青,,,0226451334,FireAgency,新北市汐止區永春一路4號
113,新北市消防局第六大隊橫科,,,0226600623,FireAgency,新北市汐止區橫科路119號
114,新北市消防局第六大隊瑞亭,,,0224578174,FireAgency,新北市瑞芳區大埔路176號
115,新北市消防局第六大隊九份,,,0224061500,FireAgency,新北市瑞芳區崙頂路1-5號
116,新北市消防局第六大隊金山,,,0224982519,FireAgency,新北市金山區南勢54號
117,新北市消防局第六大隊石門,,,0226381619,FireAgency,新北市石門區中山路64-1號
118,新北市消防局第六大隊萬里,,,0224922739,FireAgency,新北市萬里區瑪鋉路223號
119,新北市消防局第六大隊雙溪,,,0224931314,FireAgency,新北市雙溪區共和里中山路45號
120,新北市消防局第六大隊貢寮,,,0224941314,FireAgency,新北市貢寮區東興街2號
121,新北市消防局第六大隊平溪,,,0224951119,FireAgency,新北市平溪區靜安路二段289號
122,新北市消防局第六大隊保長,,,0286485736,FireAgency,新北市汐止區大同路三段469號
123,新北市消防局第七大隊中和中隊,,,0222311575,FireAgency,新北市中和區中山路二段64巷11號
124,新北市消防局第七大隊永和,,,0229214784,FireAgency,新北市永和區警光街1-1號
125,新北市消防局第七大隊永利,,,0229280206,FireAgency,新北市永和區永利路72-1號
126,新北市消防局第七大隊永平,,,0232335119,FireAgency,新北市永和區環河西路二段177-1號1樓
127,新北市消防局第七大隊中和,,,0222491819,FireAgency,新北市中和區中山路二段64巷11號
128,新北市消防局第七大隊員山,,,0222259418,FireAgency,新北市中和區中正路1163號
129,新北市消防局第七大隊南勢,,,0229440056,FireAgency,新北市中和區南山路236號
130,新北市消防局第七大隊國光,,,0289513511,FireAgency,新北市中和區莒光路170號
131,新北市消防局特搜大隊大隊部,,,0289513513,FireAgency,新北市板橋區南雅南路二段15號
132,新北市消防局特搜大隊南雅,,,0289513518,FireAgency,新北市板橋區南雅南路二段15號
133,新北市消防局特搜大隊慈福,,,0228575564,FireAgency,新北市三重區溪尾街301號
134,新北市消防局特搜大隊德音,,,0222912363,FireAgency,新北市五股區明德路8號
135,新北市消防局特搜大隊秀峰,,,0226412052,FireAgency,新北市汐止區忠孝東路1-1號
136,新北市消防局特搜大隊大埔,,,0226732936,FireAgency,新北市三峽區中正路2段492號
137,寧夏派出所,,,0225575011,Police,臺北市大同區錦西街200號
138,延平派出所,,,0225564340,Police,臺北市大同區延平北路1段86號
139,建成派出所,,,0225585463,Police,臺北市大同區承德路1段80號
140,民族路派出所,,,0225926204,Police,臺北市大同區重慶北路3段168號
141,民生西路派出所,,,0225538587,Police,臺北市大同區保安街47-1號
142,重慶北路派出所,,,0225910370,Police,臺北市大同區重慶北路3段320之2號
143,龍山派出所,,,0223314823,Police,臺北市萬華區桂林路135號
144,康定路派出所,,,0223064226,Police,臺北市和平西路三段112號
145,東園街派出所,,,0223033247,Police,臺北市長泰街130號
146,西園路派出所,,,0223091238,Police,臺北市東園街17號
147,大理街派出所,,,0223063468,Police,臺北市大理街99號
148,華江派出所,,,0223061531,Police,臺北市環河南路二段196號
149,莒光派出所,,,0223064987,Police,臺北市莒光路171號
150,西門町派出所,,,0223312212,Police,臺北市萬華區康定路22號
151,青年路派出所,,,0223054219,Police,臺北市萬大路423巷114號
152,中山一派出所,,,0225111499,Police,臺北市中山區中山北路1段110號
153,中山二派出所,,,0225412002,Police,臺北市中山區中山北路2段59巷21號2樓之4
154,圓山派出所,,,0225942750,Police,臺北市中山區中山北路3段62號
155,長春路派出所,,,0225010644,Police,臺北市中山區長春路206號
156,長安東路派出所,,,0227711932,Police,臺北市中山區長安東路2段165號
157,民權一派出所,,,0225314671,Police,臺北市中山區新生北路二段127-1號
158,建國派出所,,,0225091990,Police,臺北市中山區行孝里民族東路284號
159,大直派出所,,,0225332984,Police,臺北市中山區北安路456號
160,和平東路派出所,,,0223218073,Police,臺北市大安區和平東路1段143號
161,安和路派出所,,,0227025232,Police,臺北市大安區信義路4段216號
162,敦化南路派出所,,,0227710400,Police,臺北市大安區復興南路1段219之1號
163,新生南路派出所,,,0223258611,Police,臺北市大安區仁愛路3段18號
164,瑞安街派出所,,,0227054164,Police,臺北市大安區瑞安街23巷17號
165,羅斯福路派出所,,,0227355761,Police,臺北市大安區羅斯福路4段113巷13號
166,臥龍街派出所,,,0227334439,Police,臺北市大安區臥龍街185號
167,仁愛路派出所,,,0223212067,Police,臺北市中正區仁愛路1段19號
168,介壽路派出所,,,0223113081,Police,臺北市中正區公園路54號
169,博愛路派出所,,,0223118175,Police,臺北市中正區武昌街一段69號
170,忠孝東路派出所,,,0223218656,Police,臺北市中正區忠孝東路2段10號
171,忠孝西路派出所,,,0223142722,Police,臺北市中正區公園路15號
172,廈門街派出所,,,0223684427,Police,臺北市廈門街43號
173,思源街派出所,,,0223650844,Police,臺北市汀州路三段72號
174,泉州街派出所,,,0223039915,Police,臺北市中華路二段503號
175,南昌路派出所,,,0223218148,Police,臺北市南昌路一段7號
176,南海路派出所,,,0223752835,Police,臺北市南海路35號
177,三民派出所,,,0227621708,Police,臺北市松山區民生東路5段163之1號
178,中崙派出所,,,0225790718,Police,臺北市松山區南京東路四段12號
179,東社派出所,,,0227135253,Police,臺北市松山區敦化北路199巷5之1號
180,松山派出所,,,0227670446,Police,臺北市松山區八德路4段692號
181,民有派出所,,,0227123638,Police,臺北市松山區民權東路3段162號
182,三張犁派出所,,,0227295561,Police,臺北市信義區信義路五段17號
183,五分埔派出所,,,0227653349,Police,臺北市信義區永吉路333號
184,六張犁派出所,,,0227355068,Police,臺北市信義區基隆路2段131-22號
185,吳興街派出所,,,0227398997,Police,臺北市信義區吳興街262號
186,福德街派出所,,,0227273424,Police,臺北市信義區福德街86號
187,天母派出所,,,0228714110,Police,臺北市士林區中山北路7段192號
188,山仔后派出所,,,0228611295,Police,臺北市士林區格致路39號
189,後港派出所,,,0228829373,Police,臺北市士林區福港街151號
190,文林派出所,,,0228812211,Police,臺北市士林區文林路235號
191,永福派出所,,,0228616353,Police,臺北市士林區仰德大道2段2巷5號
192,溪山派出所,,,0228411110,Police,臺北市士林區至善路3段263號
193,社子派出所,,,0228122720,Police,臺北市士林區延平北路6段200號
194,翠山派出所,,,0228411423,Police,臺北市士林區中社路1段56號
195,芝山岩派出所,,,0228813194,Police,臺北市士林區仰德大道1段16號
196,蘭雅派出所,,,0228315001,Police,臺北市士林區中山北路6段153號1樓
197,光明派出所,,,0228912047,Police,臺北市北投區泉源路14號
198,公園派出所,,,0228610145,Police,臺北市北投區紗帽路110號
199,大屯派出所,,,0228913971,Police,臺北市北投區中和街534號
200,奇岩派出所,,,0228913531,Police,臺北市北投區公館路209巷11號
201,永明派出所,,,0228213110,Police,臺北市北投區石牌路2段101號
202,石牌派出所,,,0228231513,Police,臺北市北投區文林北路296號
203,竹子湖派出所,,,0228616082,Police,臺北市北投區竹子湖路16號
204,長安派出所,,,0228912029,Police,臺北市北投區中央北路1段1號
205,關渡派出所,,,0228583864,Police,臺北市北投區大度路3段305號
206,木柵派出所,,,0229397141,Police,臺北市文山區木柵路二段202號
207,木新派出所,,,0229372488,Police,臺北市文山區恆光街45號
208,復興派出所,,,0222367140,Police,臺北市文山區木柵路一段54號
209,指南派出所,,,0229382712,Police,臺北市文山區指南路二段177號
210,萬芳派出所,,,0222391753,Police,臺北市文山區萬美街一段50號
211,景美派出所,,,0229313459,Police,臺北市景中街2號
212,興隆派出所,,,0229313842,Police,臺北市興隆路二段156號
213,萬盛派出所,,,0229312502,Police,臺北市羅斯福路五段151號
214,內湖派出所,,,0227931031,Police,臺北市內湖路二段261號
215,潭美派出所,,,0227917233,Police,臺北市新明路324號
216,西湖派出所,,,0227987505,Police,臺北市瑞光路515號
217,大湖派出所,,,0227909521,Police,臺北市成功路五段1號
218,文德派出所,,,0227944946,Police,臺北市民權東路六段26號
219,東湖派出所,,,0226313350,Police,臺北市五分街10號
220,康樂派出所,,,0226342237,Police,臺北市康樂街110巷16弄20號
221,康寧派出所,,,0287920061,Police,臺北市金湖路83號
222,港墘派出所,,,0287518690,Police,臺北市內湖路一段550號
223,三重分局,,,0289818900,Police,新北市三重區重新路三段147號
224,泰山分駐所,,,0229097947,Police,新北市泰山區泰林路二段214號
225,明志派出所,,,0229069881,Police,新北市泰山區明志路2段426號
226,林口派出所,,,0226011630,Police,新北市林口區中正路102號
227,文化派出所,,,0226095766,Police,新北市林口區麗園一街5號
228,忠孝派出所,,,0226087165,Police,新北市林口區忠孝二路57號
229,下福派出所,,,0226062835,Police,新北市林口區下福里下福99之1號
230,瑞平派出所,,,0226052724,Police,新北市林口區瑞平里10鄰44號
231,板橋分局,,,0229699512,Police,新北市板橋區文化路1段52號
232,板橋派出所,,,0229699446,Police,新北市板橋區北門街17號
233,後埔派出所,,,0229615964,Police,新北市板橋區成都街22號
234,信義派出所,,,0229592317,Police,新北市板橋區廣權路28號
235,大觀派出所,,,0222752477,Police,新北市板橋區大觀路2段127號
236,沙崙派出所,,,0226812741,Police,新北市板橋區溪北路111號
237,海山分局,,,0229640322,Police,新北市板橋區漢生東路195號
238,埔墘派出所,,,0229558223,Police,新北市板橋區中山路2段286號
239,海山派出所,,,0229574370,Police,新北市板橋區漢生東路195號
240,新海派出所,,,0222586867,Police,新北市板橋區英士路151號
241,文聖派出所,,,0222583956,Police,新北市板橋區大同街14號
242,江翠派出所,,,0222512588,Police,新北市板橋區吳鳳路50巷36號
243,中和分局,,,0222498950,Police,新北市中和區圓通路30號
244,中和派出所,,,0222489683,Police,新北市中和區中和路102之1號
245,安平派出所,,,0229264139,Police,新北市中和區中安街175號
246,秀山派出所,,,0229402114,Police,新北市中和區成功路139號
247,南勢派出所,,,0229419445,Police,新北市中和區南山路322號
248,景安派出所,,,0222436955,Police,新北市中和區復興路276號
249,員山派出所,,,0222237295,Police,新北市中和區員山路235巷1號
250,積穗派出所,,,0222268955,Police,新北市中和區員山路471號
251,國光派出所,,,0229553199,Police,新北市中和區莒光路168號
252,錦和派出所,,,0222482551,Police,新北市中和區安邦街20號
253,中原派出所,,,0222213029,Police,新北市中和區立德街60號
254,永和分局,,,0229213119,Police,新北市永和區竹林路198號
255,中正橋派出所,,,0229215119,Police,新北市永和區永和路2段303號
256,永和派出所,,,0229214229,Police,新北市永和區安樂路344號
257,秀朗派出所,,,0229251130,Police,新北市永和區永利路73號
258,得和派出所,,,0229451969,Police,新北市永和區民權路51號
259,新生派出所,,,0229217119,Police,新北市永和區仁愛路187號
260,新店分局,,,0229111170,Police,新北市新店區北新路一段86號
261,安康派出所,,,0222121173,Police,新北市新店區安康路2段70號
262,安和派出所,,,0229467780,Police,新北市新店區安和路3段1號
263,直潭派出所,,,0226667324,Police,新北市新店區直潭十街27號
264,青潭派出所,,,0222171146,Police,新北市新店區北宜路2段417號
265,頂城派出所,,,0222118023,Police,新北市新店區碧潭路75號3樓
266,碧潭派出所,,,0229171178,Police,新北市新店區北新路1段86號
267,龜山派出所,,,0226667560,Police,新北市新店區新烏路3段152號
268,雙城派出所,,,0222159265,Police,新北市新店區安康路3段209號
269,石嘈派出所,,,0226656343,Police,新北市坪林區北宜路9段6號
270,金溪派出所,,,0226656487,Police,新北市坪林區粗窟里金瓜寮23之1號
271,漁光派出所,,,0226656910,Police,新北市坪林區漁光里大舌湖24號
272,坪林分駐所,,,0226656281,Police,新北市坪林區坪林街106號
273,闊瀨派出所,,,0226657041,Police,新北市坪林區坪雙路3段6號
274,深坑分駐所,,,0226621658,Police,新北市深坑區平埔街16號
275,石碇分駐所,,,0226631240,Police,新北市石碇區碇坪路一段79號
276,中民派出所,,,0226631254,Police,新北市石碇區靜安路1段236號
277,碧山派出所,,,0226651835,Police,新北市石碇區北宜路5段42號
278,楓子林派出所,,,0226631285,Police,新北市石碇區豐林里楓子林32號
279,豐田派出所,,,0226631975,Police,新北市石碇區碇坪路二段22號
280,德拉楠派出所,,,0226616260,Police,新北市烏來區福山里李茂岸30號
281,哪哮派出所,,,0226616400,Police,新北市烏來區信福路11號
282,烏來分駐所,,,0226616410,Police,新北市烏來區烏來街45號
283,孝義派出所,,,0226616139,Police,新北市烏來區孝義里阿玉路2號
284,桶壁派出所,,,0226616533,Police,新北市烏來區新烏路4段23號
285,江陵派出所,,,0229112165,Police,新北市新店區民族路7號
286,屈尺派出所,,,0226667439,Police,新北市新店區屈尺路82號
287,慈福派出所,,,0229815111,Police,新北市三重區仁愛街519號
288,厚德派出所,,,0229712064,Police,新北市三重區三和路3段186號
289,長泰派出所,,,0229735094,Police,新北市三重區仁愛街15號
290,大同派出所,,,0229723261,Police,新北市三重區大同南路155號
291,三重派出所,,,0229722553,Police,新北市三重區重新路1段43號
292,二重派出所,,,0229956794,Police,新北市三重區重新路5段406號
293,大有派出所,,,0289851911,Police,新北市三重區大有里中正北路402號
294,中興橋派出所,,,0229789513,Police,新北市三重區成功路21號
295,重陽派出所,,,0282879727,Police,新北市三重區五華街369號
296,新莊分局,,,0229924034,Police,新北市新莊區里中正路150號
297,新莊派出所,,,0229924018,Police,新北市新莊區中正路1之1號
298,福營派出所,,,0229017434,Police,新北市新莊區褔營路101號
299,中港派出所,,,0229932646,Police,新北市新莊區中港路352號
300,頭前派出所,,,0229921043,Police,新北市新莊區化成路312號
301,光華派出所,,,0222022677,Police,新北市新莊區民安西路141號
302,新樹派出所,,,0222075386,Police,新北市新莊區樹新路222號
303,丹鳳派出所,,,0229083119,Police,新北市新莊區雙鳳路75號
304,中平派出所,,,0289919755,Police,新北市新莊區中平路288號
305,五工派出所,,,0222993050,Police,新北市新莊區五工路95之1號
306,昌平派出所,,,0285227625,Police,新北市新莊區富貴路111號
307,土城分局,,,0222665929,Police,新北市土城區和平路22號
308,土城派出所,,,0222656058,Police,新北市土城區和平路22號
309,清水派出所,,,0222615479,Police,新北市土城區青雲路220號
310,頂埔派出所,,,0222681220,Police,新北市土城區中央路四段102號(頂埔捷運站1號出口)
311,廣福派出所,,,0222701588,Police,新北市土城區學府路1段103號
312,金城派出所,,,0222633152,Police,新北市土城區延吉街318號
313,樹林分局,,,0226812101,Police,新北市樹林區保安街1段283號
314,三多派出所,,,0226894108,Police,新北市樹林區三福街72號
315,山佳派出所,,,0226806114,Police,新北市樹林區中山路3段38號
316,柑園派出所,,,0226801075,Police,新北市樹林區佳園路3段20號
317,樹林派出所,,,0226812034,Police,新北市樹林區鎮前街35號
318,彭厝派出所,,,0286868077,Police,新北市樹林區國凱街65號
319,淡水分局,,,0226212069,Police,新北市淡水區中正路229號
320,中山路派出所,,,0226212753,Police,新北市淡水區中正東路40號
321,中正路派出所,,,0226212752,Police,新北市淡水區中正路320號
322,水源派出所,,,0226200534,Police,新北市淡水區北新路2段19號
323,水碓派出所,,,0226212491,Police,新北市淡水區中山北路1段160號
324,竹圍派出所,,,0228092831,Police,新北市淡水區民權路32號
325,賢孝派出所,,,0228011505,Police,新北市淡水區淡金路5段72號
326,興仁派出所,,,0226236399,Police,新北市淡水區興仁路93號
327,三芝分駐所,,,0226362049,Police,新北市三芝區育英街27號
328,後厝派出所,,,0226362052,Police,新北市三芝區後厝里北勢子45之32號
329,興華派出所,,,0226371851,Police,新北市三芝區興華里田心子1號
330,汐止分局,,,0226412610,Police,新北市汐止區大同路二段459號
331,汐止派出所,,,0226412827,Police,新北市汐止區大同路二段459號
332,社后派出所,,,0226942819,Police,新北市汐止區中興路108號
333,橫科派出所,,,0226401237,Police,新北市汐止區民權街2段87號
334,烘內派出所,,,0226462564,Police,新北市汐止區汐萬路2段230號
335,東山派出所,,,0226415841,Police,新北市汐止區汐平路2段68號
336,長青派出所,,,0226451281,Police,新北市汐止區長青路188巷1之1號
337,蘆洲分局,,,0222810555,Police,新北市蘆洲區長榮路200號
338,蘆洲派出所,,,0222813358,Police,新北市蘆洲區中山二路92號
339,集賢派出所,,,0282832110,Police,新北市蘆洲區仁義里集賢路245號1樓
340,成州派出所,,,0222921296,Police,新北市五股區成泰路3段539號
341,五股分駐所,,,0222916948,Police,新北市五股區中興路4段67號
342,更寮派出所,,,0229711126,Police,新北市五股區中興路2段147號
343,德音派出所,,,0282923789,Police,新北市五股區水碓二路1號1樓
344,龍源派出所,,,0226182245,Police,新北市八里區龍米路1段225號
345,八里分駐所,,,0226101315,Police,新北市八里區訊塘路37號
346,三峽分局,,,0226738531,Police,新北市三峽區中正路1段48號
347,三峽派出所,,,0226711254,Police,新北市三峽區民權街38號
348,五寮派出所,,,0226720283,Police,新北市三峽區五寮里五寮154號
349,吉埔(含圳頭)派出所,,,0226711278,Police,新北市三峽區中正路二段451號
350,成福派出所,,,0226726097,Police,新北市三峽區成福路84號
351,插角派出所,,,0226720121,Police,新北市三峽區插角里插角67之1號
352,橫溪派出所,,,0286761762,Police,新北市三峽區介壽路3段49號
353,鳳鳴派出所,,,0226789110,Police,新北市鶯歌區鳳鳴路163號
354,湖山派出所,,,0226792474,Police,新北市鶯歌區大湖路370號
355,鶯歌分駐所,,,0226792024,Police,新北市鶯歌區中正一路195號
356,二橋派出所,,,0226781225,Police,新北市鶯歌區中正三路6號
357,北大派出所,,,0226730561,Police,新北市三峽區學成路396號
358,瑞芳分局,,,0224062602,Police,新北市瑞芳區明燈路3段25號
359,平溪分駐所,,,0224951063,Police,新北市平溪區平溪街43之1號
360,貢寮分駐所,,,0224941542,Police,新北市貢寮區朝陽街70巷7號
361,雙溪分駐所,,,0224931059,Police,新北市雙溪區太平路64號
362,瑞芳派出所,,,0224972141,Police,新北市瑞芳區明燈路3段25號
363,大寮派出所,,,0224972608,Police,新北市瑞芳區(魚桀)魚里(魚桀)魚坑路278號
364,四腳亭派出所,,,0224576947,Police,新北市瑞芳區瑞竹路124號
365,猴硐派出所,,,0224972527,Police,新北市瑞芳區九芎橋路96號
366,九份派出所,,,0224972609,Police,新北市瑞芳區豎崎路24號
